time(mins),Power (kW)
40.52966466,38.53025478
40.57093723,38.54652866
40.6122098,38.51398089
40.65348237,38.48143312
40.69475494,38.49770701
40.73602752,38.44888535
40.77730009,38.38378981
40.81857266,38.33496815
40.85984523,38.2861465
40.9011178,38.23732484
40.94239037,38.1722293
40.98366294,38.12340764
41.02493551,38.12340764
41.06620808,38.15595541
41.10748065,38.1722293
41.14875322,38.1722293
41.1900258,38.1722293
41.23129837,38.15595541
41.27257094,38.12340764
41.31384351,38.12340764
41.35511608,38.20477707
41.39638865,38.25359873
41.43766122,38.30242038
41.47893379,38.35124204
41.52020636,38.31869427
41.56147893,38.31869427
41.6027515,38.40006369
41.64402408,38.43261146
41.68529665,38.48143312
41.72656922,38.59535032
41.76784179,38.66044586
41.80911436,38.67671975
41.85038693,38.66044586
41.8916595,38.66044586
41.93293207,38.66044586
41.97420464,38.66044586
42.01547721,38.64417197
42.05674979,38.62789809
42.09802236,38.62789809
42.13929493,38.64417197
42.1805675,38.66044586
42.22184007,38.66044586
42.26311264,38.64417197
42.30438521,38.6116242
42.34565778,38.59535032
42.38693035,38.6116242
42.42820292,38.62789809
42.46947549,38.62789809
42.51074807,38.64417197
42.55202064,38.66044586
42.59329321,38.66044586
42.63456578,38.64417197
42.67583835,38.59535032
42.71711092,38.54652866
42.75838349,38.53025478
42.79965606,38.53025478
42.84092863,38.53025478
42.8822012,38.56280255
42.92347377,38.59535032
42.96474635,38.59535032
43.00601892,38.56280255
43.04729149,38.51398089
43.08856406,38.13968153
43.12983663,38.13968153
43.1711092,37.505
43.21238177,36.85404459
43.25365434,36.47974522
43.29492691,35.87761146
43.33619948,35.66605096
43.37747206,35.43821656
43.41874463,35.27547771
43.4600172,35.08019108
43.50128977,35.04764331
43.54256234,34.90117834
43.58383491,34.86863057
43.62510748,34.8360828
43.66638005,34.75471338
43.70765262,34.73843949
43.74892519,34.73843949
43.79019776,34.75471338
43.83147034,34.78726115
43.87274291,34.80353503
43.91401548,34.80353503
43.95528805,34.77098726
43.99656062,34.73843949
44.03783319,34.73843949
44.07910576,34.70589172
44.12037833,34.60824841
44.1616509,34.57570064
44.20292347,34.49433121
44.24419604,34.44550955
44.28546862,34.33159236
44.32674119,34.21767516
44.36801376,34.18512739
44.40928633,33.97356688
44.4505589,33.92474522
44.49183147,33.7294586
44.53310404,33.55044586
44.57437661,33.40398089
44.61564918,33.20869427
44.65692175,33.11105096
44.69819433,33.01340764
44.7394669,32.91576433
44.78073947,32.81812102
44.82201204,32.70420382
44.86328461,32.59028662
44.90455718,32.46009554
44.94582975,32.32990446
44.98710232,32.23226115
45.02837489,32.11834395
45.06964746,32.03697452
45.11092003,31.9556051
45.15219261,31.89050955
45.19346518,31.80914013
45.23473775,31.77659236
45.27601032,31.66267516
45.31728289,31.59757962
45.35855546,31.56503185
45.39982803,31.46738854
45.4411006,31.33719745
45.48237317,31.14191083
45.52364574,31.07681529
45.56491831,30.91407643
45.60619089,30.78388535
45.64746346,30.44213376
45.68873603,30.18175159
45.7300086,30.01901274
45.77128117,29.49824841
45.81255374,29.15649682
45.85382631,28.94493631
45.89509888,28.78219745
45.93637145,28.71710191
45.97764402,28.6194586
46.0189166,28.52181529
46.06018917,28.45671975
46.10146174,28.34280255
46.14273431,28.35907643
46.18400688,28.34280255
46.22527945,28.31025478
46.26655202,28.31025478
46.30782459,28.66828025
46.34909716,29.46570064
46.39036973,30.70251592
46.4316423,31.0605414
46.47291488,31.30464968
46.51418745,31.9556051
46.55546002,31.8416879
46.59673259,31.79286624
46.63800516,31.7277707
46.67927773,31.66267516
46.7205503,31.63012739
46.76182287,31.54875796
46.80309544,31.54875796
46.84436801,31.56503185
46.88564058,31.58130573
46.92691316,31.59757962
46.96818573,31.49993631
47.0094583,31.45111465
47.05073087,31.35347134
47.09200344,31.19073248
47.13327601,31.22328025
47.17454858,31.22328025
47.21582115,31.1744586
47.25709372,31.1744586
47.29836629,31.15818471
47.33963887,31.12563694
47.38091144,31.10936306
47.42218401,31.10936306
47.46345658,30.93035032
47.50472915,30.83270701
47.54600172,30.71878981
47.58727429,30.55605096
47.62854686,30.53977707
47.66981943,30.49095541
47.711092,30.49095541
47.75236457,30.49095541
47.79363715,30.44213376
47.83490972,30.34449045
47.87618229,30.34449045
